brightness,k_rate,w_rate
0.0,0.999999999941,5.93822569167e-11
0.01,0.999999999902,9.7736833239e-11
0.02,0.999999999836,1.63549197013e-10
0.03,1.0,1.66533453694e-16
0.04,0.999999999514,4.86102643424e-10
0.05,0.999999999136,8.64445632795e-10
0.06,0.999999998427,1.57290934182e-09
0.07,0.999999997065,2.93466541135e-09
0.08,0.999999994377,5.62315239834e-09
0.09,0.999999988909,1.10908646647e-08
0.1,0.999999977431,2.25685033631e-08
0.11,0.999999952483,4.75167253676e-08
0.12,0.999999896174,1.03825652051e-07
0.13,0.999999763734,2.36265569874e-07
0.14,0.999999437866,5.62133613245e-07
0.15,0.999999999997,3.39117928469e-12
0.16,0.999999999973,2.69280251298e-11
0.17,0.999999999755,2.45385327607e-10
0.18,0.999999997393,2.60746175831e-09
0.19,0.999999996892,3.10780092176e-09
0.2,0.999999953542,4.64583847523e-08
0.21,0.999999681259,3.18741056532e-07
0.22,0.99999999957,4.29776965502e-10
0.23,0.99999984115,1.58850498462e-07
0.24,0.965528262877,0.0344717371228
0.25,0.882393057206,0.117606942794
0.26,0.796224497109,0.203775502891
0.27,0.71506205472,0.28493794528
0.28,0.641499886567,0.358500113433
0.29,0.575950332616,0.424049667384
0.3,0.517974846506,0.482025153494
0.31,0.466826726381,0.533173273619
0.32,0.421699669376,0.578300330624
0.33,0.381826859403,0.618173140597
0.34,0.346515359312,0.653484640688
0.35,0.315158283455,0.684841716545
0.36,0.287231075388,0.712768924612
0.37,0.262284338554,0.737715661446
0.38,0.239933568275,0.760066431725
0.39,0.219850364852,0.780149635148
0.4,0.201753937166,0.798246062834
0.41,0.185403762415,0.814596237585
0.42,0.17059331516,0.82940668484
0.43,0.157144766327,0.842855233673
0.44,0.144904540603,0.855095459397
0.45,0.133739600225,0.866260399775
0.46,0.123534341517,0.876465658483
0.47,0.114187851282,0.885812148718
0.48,0.10561220649,0.89438779351
0.49,0.0977300616648,0.902269938335
0.5,0.0904734605542,0.909526539446
0.51,0.0837824723643,0.916217527636
0.52,0.077604103981,0.922395896019
0.53,0.0718913795519,0.928108620448
0.54,0.0666025600402,0.93339743996
0.55,0.0617004800774,0.938299519923
0.56,0.0571519831634,0.942848016837
0.57,0.0529274392017,0.947072560798
0.58,0.0490003306965,0.950999669304
0.59,0.0453468958585,0.954653104141
0.6,0.0419458185116,0.958054181488
0.61,0.0387779138699,0.96122208613
0.62,0.0358260222699,0.96417397773
0.63,0.0330746188632,0.966925381137
0.64,0.0305097177676,0.969490282232
0.65,0.0281186689919,0.971881331008
0.66,0.0258899921241,0.974110007876
0.67,0.0238132229588,0.976186777041
0.68,0.0218787727193,0.978121227281
0.69,0.020077800237,0.979922199763
0.7,0.0184020979057,0.981597902094
0.71,0.0168439923864,0.983156007614
0.72,0.0153962593355,0.984603740664
0.73,0.0140520601721,0.985947939828
0.74,0.0128048829019,0.987195117098
0.75,0.0116485181208,0.988351481879
0.76,0.0105770063475,0.989422993652
0.77,0.00958465384802,0.990415346152
0.78,0.00866602753386,0.991333972466
0.79,0.0078159239927,0.992184076007
0.8,0.00702940608419,0.992970593916
0.81,0.00630178471424,0.993698215286
0.82,0.00562864252732,0.994371357473
0.83,0.00500581631556,0.994994183684
0.84,0.00442941282534,0.995570587175
0.85,0.00389579147213,0.996104208528
0.86,0.00340156567904,0.996598434321
0.87,0.0029436137979,0.997056386202
0.88,0.00251903019676,0.997480969803
0.89,0.00212514470647,0.997874855294
0.9,0.00175949935117,0.998240500649
0.91,0.0014198367626,0.998580163237
0.92,0.00110408689536,0.998895913105
0.93,0.000810353750809,0.999189646249
0.94,0.000536902349864,0.99946309765
0.95,0.000282149544199,0.999717850456
0.96,4.46860954694e-05,0.999955313905
0.97,1.14486938262e-11,0.999999999989
0.98,1.67903931879e-11,0.999999999983
0.99,1.20512076577e-09,0.999999998795
1.0,1.58358195008e-11,0.999999999984
