r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.0,0.0,4.1717103278e-06,1.64528636291e-05,0.000137547448879,0.999841814546,1.34316635706e-08,0.231230645402,0.234745071571,0.239226224337,67.0896173322
0.0,0.0,0.1,2.82156803801e-08,1.58250006298e-05,7.44555148285e-08,0.999983972652,9.96757214454e-08,0.231230533935,0.234744963494,0.239226444387,67.0954879572
0.0,0.0,0.2,3.82001023825e-09,1.02341632423e-14,2.2137135645e-05,0.999977707681,1.51363655104e-07,0.231230543246,0.234744981963,0.239226429262,67.0956297981
0.0,0.0,0.3,2.58850821473e-09,2.00170995982e-11,1.21921226319e-06,0.999393394508,0.000605383671226,0.23127194323,0.234763519765,0.239457512538,67.0614823019
0.0,0.0,0.4,0.969755211111,5.02665961671e-10,7.73696279255e-30,0.0291342661897,0.001110522197,0.210450494384,0.272650711139,0.31232567549,2.82219203337
0.0,0.0,0.5,0.94960941909,0.0329867480406,5.91161645382e-35,0.0171744114987,0.000229421370512,0.168968454446,0.325694823113,0.392510360791,2.01327567893
0.0,0.0,0.6,0.921850212034,0.0661633219013,3.77384642112e-35,0.0119864660644,6.73101229447e-34,0.118332222827,0.373778098011,0.475026155975,1.65847820901
0.0,0.0,0.7,0.887688571674,0.103664581271,2.92935417801e-37,0.00864684705491,6.37914442642e-58,0.0759197061252,0.410728297711,0.551157151334,1.4269051168
0.0,0.0,0.8,0.853794278671,0.140139946835,1.50795290195e-33,0.0060657744948,2.09842001656e-43,0.0562633737385,0.441607298163,0.624277561552,1.24597403755
0.0,0.0,0.9,0.828776822753,0.167289539257,3.32091060739e-31,0.00393363799014,4.60901797559e-33,0.0457840606795,0.472924518188,0.697088718432,1.09730942201
0.0,0.0,1.0,0.810866820135,0.18702939869,4.71054670521e-10,0.0021037795727,1.13172038216e-09,0.0392903250562,0.505747765708,0.770018798827,0.97066333682
0.0,0.1,0.0,3.66527655316e-08,2.82266311048e-06,0.0297443933378,0.970252747346,7.04294104296e-16,0.231256435721,0.234769149894,0.2391859412,65.8824082435
0.0,0.1,0.1,1.49530086648e-08,4.35382885966e-06,4.79907675062e-10,0.999995614662,1.60760701905e-08,0.231230518784,0.234744960473,0.239226409354,67.0962477783
0.0,0.1,0.2,5.15940977907e-09,5.41457396994e-07,8.00670643577e-08,0.999999373316,8.99271500287e-15,0.23123051464,0.234744959906,0.239226402047,67.0964957581
