Color,Wavelength,R,T,x,K,S
m,800.0,0.07876521111,0.8665237427,3,0.01877083990707099,0.030231817970268044
m,799.0,0.07861207485,0.8655002594,3,0.01918670605339903,0.030206911881864845
m,798.0,0.0786600256,0.8658652496000001,3,0.019040693631938176,0.030213237362704277
m,797.0,0.07892800331,0.8652628326,3,0.019159014167124067,0.030336528860690635
m,796.0,0.07883444309,0.8664603424,3,0.018768795196995394,0.030260564930425435
m,795.0,0.07883188248,0.8671720123,3,0.018518404266219316,0.030235899757746033
m,794.0,0.07850588322,0.8657446289,3,0.01913781213089396,0.030157895590295736
m,793.0,0.07865782261,0.8652742766999999,3,0.019250471703604787,0.030232054843775755
m,792.0,0.07875833511,0.8656965637,3,0.019065597769360114,0.030256706099688748
m,791.0,0.07875803947,0.8663001251,3,0.018852373526097338,0.0302364979571012
m,790.0,0.07860482693,0.8651654816,3,0.0193077007918014,0.03021525790919455
m,789.0,0.07911830425,0.8672094726999999,3,0.018404165019106713,0.03034476949688349
m,788.0,0.07861288548,0.8656230164000001,3,0.01914300358742893,0.030203141437411114
m,787.0,0.07882471561,0.8660807036999999,3,0.018906362952152214,0.030269465777986053
m,786.0,0.07870347023,0.8654553986000001,3,0.019170268368453952,0.03024360822513762
m,785.0,0.07854355335,0.8666038513,3,0.018820795960485567,0.03014388234032136
m,784.0,0.07858345032,0.8670223999,3,0.018658877881692345,0.03014534779669489
m,783.0,0.0786692524,0.8668209076,3,0.018699751808112106,0.030185029513995303
m,782.0,0.07888002872000001,0.8664328766,3,0.018762404629958294,0.030279019773365938
m,781.0,0.07845685482,0.8655240631,3,0.019233155045645135,0.030146336903513076
m,780.0,0.078686409,0.8641352081,3,0.01964357095963187,0.030281047359654208
m,779.0,0.07854476452,0.8667945099000001,3,0.018753016355138142,0.030138026183297844
m,778.0,0.07844810963,0.8649079895,3,0.01945425666601595,0.030163428135581757
m,777.0,0.078680439,0.8656552124,3,0.0191077445670546,0.030228085658512607
m,776.0,0.07876254559000001,0.8650373077000001,3,0.019297284003359068,0.0302803030043286
m,775.0,0.07880531311,0.8652709197999999,3,0.019199519984588142,0.03028898970641452
m,774.0,0.07863091469,0.865759201,3,0.019088474593242755,0.030205555510129774
m,773.0,0.07865811348,0.8643127441,3,0.01959070759851598,0.030264209817275133
m,772.0,0.07893003464000001,0.8660923766999999,3,0.018865044966551472,0.030309616508599264
m,771.0,0.07863543034,0.8641795349,3,0.01964591468478833,0.0302599039858554
m,770.0,0.07861744404,0.8652323151,3,0.019279592921979904,0.030217894983155424
m,769.0,0.07840479851,0.8656568145999999,3,0.019204598547439927,0.030121884426423162
m,768.0,0.07848334312000001,0.8635358429,3,0.019927865846161907,0.03022268044036895
m,767.0,0.07868691444,0.8639042664000001,3,0.01972520174378464,0.030288952322213767
m,766.0,0.07867675781,0.8640866088999999,3,0.019664201515732126,0.030278946432937118
m,765.0,0.07870752335,0.8627391815,3,0.020130936767150363,0.030335861297295826
m,764.0,0.07849503516999999,0.8646419525,3,0.019531840398734877,0.03019036125064378
m,763.0,0.07862178326000001,0.8644004822,3,0.019572493728325525,0.030247273441605032
m,762.0,0.07845535755000001,0.8644228363,3,0.01962347623219811,0.030182351172092076
m,761.0,0.0787891531,0.8649242400999999,3,0.0193278830291978,0.030294329615593904
m,760.0,0.07873619556,0.8633834076,3,0.019892331923059753,0.03032537928281849
