Color,Wavelength,R,T,x,K,S
c,800.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,799.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,798.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,797.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,796.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,795.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,794.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,793.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,792.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,791.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,790.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,789.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,788.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,787.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,786.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,785.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,784.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,783.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,782.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,781.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,780.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,779.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,778.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,777.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,776.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,775.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,774.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,773.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,772.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,771.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,770.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
c,769.0,0.02,0.02,3,1.2527218635515003,0.05219674431464263
