r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.0,0.0,3.9561941097e-10,1.40968602222e-09,0.0148216733541,0.985178324841,1.63364905491e-34,0.105255089314,0.0959015540102,0.0770914812514,3.34624347443
0.0,0.0,0.1,8.41743351924e-11,5.19300311387e-13,6.35784234122e-08,0.999999936337,4.46926970206e-23,0.103058480307,0.0944135306808,0.0856041352085,3.05294916606
0.0,0.0,0.2,1.87080031976e-09,5.20996935851e-08,2.27362031195e-40,0.997914088859,0.00208585717089,0.107673343662,0.102770157438,0.099624298749,3.06016758299
0.0,0.0,0.3,1.82751749633e-18,2.42836081958e-13,3.53216655947e-17,0.988437977232,0.0115620227674,0.126659917787,0.134655454569,0.147396211482,3.09275384291
0.0,0.0,0.4,0.557576307074,0.0745356550333,1.55723713881e-35,0.367888037892,1.03151635353e-47,0.0537124868803,0.257406751637,0.270426218112,1.67413597091
0.0,0.0,0.5,0.606223678558,0.13483416203,5.89931421209e-35,0.258942159412,3.24135754724e-37,0.0454733708342,0.304797884706,0.369856583793,1.41929236078
0.0,0.0,0.6,0.642804054665,0.179167174201,1.84573329671e-37,0.178028771134,4.66260999504e-37,0.040943044786,0.345568473234,0.470305298789,1.22872327495
0.0,0.0,0.7,0.673494705501,0.212979123064,1.03871140666e-43,0.113526171436,4.13671638661e-21,0.0388979671479,0.381895862788,0.572228262019,1.07619231994
0.0,0.0,0.8,0.700802452346,0.238898997668,5.24195340329e-27,0.0602985499859,3.36751198909e-31,0.0383123807583,0.41466861356,0.675437181739,0.950073676491
0.0,0.0,0.9,0.726131305859,0.258485439116,1.04964242628e-42,0.0153832550259,6.59664864333e-15,0.0381171233602,0.444476482436,0.779892681145,0.843647361068
0.0,0.0,1.0,0.735877961327,0.264122038673,3.00702502185e-26,6.45423497202e-19,4.00119368757e-17,0.0359742684071,0.45538223827,0.820676729033,0.80734048876
0.0,0.1,0.0,6.33252937706e-08,4.65576800121e-15,0.0251685580606,0.974831378614,1.021919248e-34,0.106768442651,0.0969430672915,0.0744448368675,3.54953214237
0.0,0.1,0.1,3.93035801772e-06,4.92145622017e-15,1.67230646233e-13,0.999996069642,8.62817733547e-36,0.103058542113,0.094413826506,0.0856043905646,3.05293954777
0.0,0.1,0.2,0.454315399323,1.15010248425e-14,1.06869806659e-45,0.545684600677,5.51361771227e-43,0.0790926085087,0.19059214555,0.168206189659,2.08000153603
0.0,0.1,0.3,0.547644686733,0.0148298910188,1.30451326173e-25,0.437525422248,1.2150897331e-20,0.0283118956172,0.239220049363,0.225676484508,1.84160210722
0.0,0.1,0.4,0.590408653446,0.0954407100009,9.04485431571e-19,0.314150636553,1.33814514418e-18,0.0284964074392,0.28372606695,0.316369823055,1.55099808488
0.0,0.1,0.5,0.625850687377,0.149722968173,1.32062272437e-17,0.22442634445,1.38272278163e-22,0.028609843171,0.323774386969,0.410261670461,1.33921194249
0.0,0.1,0.6,0.656564366427,0.189796761988,5.77482598536e-28,0.153638871585,5.10279169436e-17,0.0287549791062,0.360317678744,0.506782692739,1.17172312714
