r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.0,0.0,9.65285125906e-09,4.56980403225e-11,0.0148313085455,0.985168681756,3.091837816e-28,0.10525648502,0.0959025140941,0.0770883820892,3.34643332106
0.0,0.0,0.1,1.1475755169e-12,1.06368262131e-08,2.24010622e-07,0.99999976535,1.2959928067e-12,0.103058507418,0.0944135464491,0.0856039708421,3.05295233782
0.0,0.0,0.2,1.94855981506e-16,2.58993308017e-20,1.05105572443e-24,0.997914009163,0.00208599083724,0.107673626655,0.102770672462,0.099625135808,3.06016817342
0.0,0.0,0.3,0.469690089802,0.106353489698,2.25469194786e-33,0.4239564205,9.05745006937e-18,0.141041273816,0.166065867198,0.209994084664,1.8772083339
0.0,0.0,0.4,0.585806024015,0.141961547303,1.99328440608e-28,0.272232428682,1.11868775816e-30,0.159522028266,0.201442782482,0.319539899859,1.56555487834
0.0,0.0,0.5,0.660552991356,0.165050005936,1.56412828976e-41,0.174397002708,4.7375446457e-38,0.175364559487,0.227334042664,0.425701427039,1.36246934261
0.0,0.0,0.6,0.716075040832,0.182856434802,1.87340895031e-48,0.101068524366,2.3344468414e-35,0.192626560503,0.245772015906,0.530934273926,1.20917376532
0.0,0.0,0.7,0.75892655282,0.198784327838,1.03181475909e-48,0.0422891193427,3.76468786875e-39,0.214969200006,0.255463104746,0.635665789253,1.08627261928
0.0,0.0,0.8,0.794135834731,0.205864165269,8.28904468422e-41,4.90840169161e-16,2.06467311026e-17,0.230634491184,0.26462593411,0.729836072961,0.994718306415
0.0,0.0,0.9,0.839672474725,0.160327525275,4.46291208832e-36,3.85169848997e-34,4.15971728342e-37,0.121071544467,0.340260063324,0.765684833387,0.968430604733
0.0,0.0,1.0,0.850877928378,0.149122071622,4.86327671758e-59,1.03472397043e-40,8.41789278148e-34,0.0581106976722,0.36062912444,0.77488624918,0.961974669055
0.0,0.1,0.0,4.07580511208e-08,3.30109290287e-21,0.0251301924455,0.974869766796,3.61813533085e-34,0.106762754681,0.0969391499931,0.0744528285591,3.5487806177
0.0,0.1,0.1,3.51644476128e-09,8.62147135506e-18,1.44557472192e-21,0.999999996484,1.42558992165e-38,0.10305847027,0.0944135243159,0.0856042006366,3.05294789537
0.0,0.1,0.2,0.454263041518,3.51641342966e-14,7.888251962e-25,0.545736958482,2.45221634486e-21,0.0791088055264,0.190569978978,0.168183339438,2.08011471725
0.0,0.1,0.3,0.577402538392,0.031137150077,1.48895609657e-35,0.391460311531,1.46889010003e-51,0.0457766595868,0.2405893561,0.251645074736,1.76302372034
0.0,0.1,0.4,0.659100280772,0.0738442570638,5.8454343369e-43,0.267055462164,1.11644721913e-35,0.0454751554534,0.271670987272,0.351770674339,1.51487849948
0.0,0.1,0.5,0.719670477631,0.102379985028,1.64653291142e-40,0.17794953734,2.12294171167e-34,0.0451226355426,0.297870508839,0.452350516009,1.33421722922
0.0,0.1,0.6,0.768351926139,0.122460507281,1.91790336473e-38,0.10918756658,6.65886949641e-38,0.0449758596671,0.320663220262,0.553117128286,1.192505794
0.0,0.1,0.7,0.809340339029,0.136626916923,2.79987054815e-37,0.0540327440485,1.85747758181e-25,0.0452471641348,0.340904345983,0.653755541115,1.07687183255
0.0,0.1,0.8,0.844951361877,0.146247113391,1.69537954515e-40,0.00880152472062,1.10141623899e-11,0.045751413495,0.359278392512,0.753933801154,0.980265935231
0.0,0.1,0.9,0.853172463638,0.146827536177,5.05270540697e-35,4.80774286743e-15,1.84422320213e-10,0.0360384850395,0.364896262349,0.776789508115,0.960653323289
0.0,0.1,1.0,0.853853529803,0.146146470196,3.40092241546e-21,6.01078952394e-18,7.19529707429e-13,0.0286079580591,0.366169299423,0.77735569388,0.960261160345
0.0,0.2,0.0,0.533165505152,4.6030323383e-14,0.0412766877375,0.42555780711,9.4834571534e-31,0.0349664194646,0.256162987249,0.0797818334891,2.72557159108
