brightness,k_rate,w_rate
0.0,0.999999999752,2.4820556721e-10
0.01,0.999999998635,1.36459432643e-09
0.02,0.999999992402,7.59754770208e-09
0.03,1.0,1.28785870857e-13
0.04,0.999999999995,4.84523532407e-12
0.05,0.999999999814,1.86347270947e-10
0.06,0.999999992798,7.20176940305e-09
0.07,0.999999999986,1.35889077768e-11
0.08,0.999999974957,2.50432848903e-08
0.09,0.999999999438,5.62052071551e-10
0.1,0.998717303419,0.00128269658114
0.11,0.996235052977,0.00376494702327
0.12,0.993484412028,0.00651558797176
0.13,0.990462306017,0.00953769398258
0.14,0.987164298231,0.0128357017688
0.15,0.983585002277,0.0164149977227
0.16,0.979718350434,0.0202816495659
0.17,0.975557826345,0.024442173655
0.18,0.971096420499,0.0289035795013
0.19,0.966326867562,0.0336731324385
0.2,0.961241641479,0.0387583585214
0.21,0.955833014146,0.0441669858535
0.22,0.950093067641,0.0499069323588
0.23,0.944013869962,0.0559861300377
0.24,0.937587249352,0.0624127506477
0.25,0.930805049552,0.0691949504482
0.26,0.923659075664,0.0763409243362
0.27,0.916141131052,0.0838588689482
0.28,0.908243052411,0.0917569475887
0.29,0.899956746135,0.100043253865
0.3,0.891274227343,0.108725772657
0.31,0.882187591203,0.117812408797
0.32,0.872689386382,0.127310613618
0.33,0.86277208556,0.13722791444
0.34,0.85242861796,0.14757138204
0.35,0.841652267818,0.158347732182
0.36,0.830436743745,0.169563256255
0.37,0.818776251125,0.181223748875
0.38,0.806665568789,0.193334431211
0.39,0.794100130695,0.205899869305
0.4,0.781076112957,0.218923887043
0.41,0.767590526368,0.232409473632
0.42,0.753641314399,0.246358685601
0.43,0.739227397317,0.260772602683
0.44,0.724349055047,0.275650944953
0.45,0.709007549897,0.290992450103
0.46,0.693205652464,0.306794347536
0.47,0.676947622439,0.323052377561
0.48,0.660239336831,0.339760663169
0.49,0.643088418295,0.356911581705
0.5,0.625504363333,0.374495636667
0.51,0.607498669624,0.392501330376
0.52,0.589084961315,0.410915038685
0.53,0.570279096541,0.429720903459
0.54,0.551099353361,0.448900646639
0.55,0.531566402598,0.468433597402
0.56,0.511703455542,0.488296544458
0.57,0.491536759387,0.508463240613
0.58,0.471094545996,0.528905454004
0.59,0.450408545325,0.549591454675
0.6,0.429512919673,0.570487080327
0.61,0.408444765844,0.591555234156
0.62,0.387243926425,0.612756073575
0.63,0.365952977445,0.634047022555
0.64,0.34461712019,0.65538287981
0.65,0.323284047903,0.676715952097
0.66,0.302003635726,0.697996364274
0.67,0.280827965185,0.719172034815
0.68,0.259810716194,0.740189283806
0.69,0.239006948127,0.760993051873
0.7,0.218472622491,0.781527377509
0.71,0.198264088304,0.801735911696
0.72,0.178437511303,0.821562488697
0.73,0.159047982507,0.840952017493
0.74,0.140149315148,0.859850684852
0.75,0.121792672184,0.878207327816
0.76,0.104026042316,0.895973957684
0.77,0.0868933683764,0.913106631624
0.78,0.0704334688298,0.92956653117
0.79,0.0546797995138,0.945320200486
0.8,0.0396592833819,0.960340716618
0.81,0.0253917354351,0.974608264565
0.82,0.0118900990765,0.988109900924
0.83,7.61455559294e-06,0.999992385444
0.84,1.60149234073e-10,0.99999999984
0.85,7.34774803018e-10,0.999999999265
0.86,1.18343873182e-07,0.999999881656
0.87,3.26060088068e-09,0.999999996739
0.88,9.47874481216e-11,0.999999999905
0.89,2.95506987707e-12,0.999999999997
0.9,9.33335341964e-08,0.999999906666
0.91,1.90169330455e-08,0.999999980983
0.92,3.99684544695e-09,0.999999996003
0.93,8.67242071322e-10,0.999999999133
0.94,1.94291221542e-10,0.999999999806
0.95,4.49267601055e-11,0.999999999955
0.96,1.0715899311e-11,0.999999999989
0.97,2.63443760742e-12,0.999999999997
0.98,6.66973337558e-13,0.999999999999
0.99,1.73738479341e-13,1.0
1.0,4.65209351571e-14,1.0
