Color,Wavelength,R,T,x,K,S,error
K,800,0.007796067216108,0,2.0,144.52383306916457,2.2889860912044657,3.1295304609911216e-128
K,799,0.007773898086756,0,2.0,145.2275790680603,2.293488892406753,7.590817839219512e-129
K,798,0.00774511858809,0,2.0,144.888456816298,2.279530283041381,1.5375160822324704e-128
K,797,0.007764816834648,0,2.0,144.88042510087124,2.2852918878257564,1.544789071133044e-128
K,796,0.007840274876785,0,2.0,145.26845484796544,2.3140322889491225,6.717570450378985e-129
K,795,0.00787246651078,0,2.0,145.910481087393,2.3339540536102525,1.7883487120123732e-129
K,794,0.00773473596834,0,2.0,145.2329733579544,2.28183974792057,7.683612487132947e-129
K,793,0.007830012458725,0,2.0,144.86643602298236,2.3045601771204782,1.5294797759318465e-128
K,792,0.007727571538220001,0,2.0,21.396969128567424,0.3358639890495154,1.3345332970586468e-19
K,791,0.0077907042621239994,0,2.0,144.8684375492057,2.2928408332866757,1.5589306899083575e-128
K,790,0.007889500439926,0,2.0,144.88685775357015,2.322674770141388,1.4168188285689955e-128
K,789,0.007887930119205,0,2.0,144.95273272873126,2.323260940602023,1.240474270982613e-128
K,788,0.007862196975485,0,2.0,144.87699930888172,2.3143517302499963,1.4689087633584816e-128
K,787,0.007779462733434,0,2.0,145.32814788971854,2.296745717546086,6.167935353564397e-129
K,786,0.00782633070301,0,2.0,145.03530297563546,2.306144534243124,1.0876647096920754e-128
K,785,0.00791083077752,0,2.0,144.8962304721573,2.329205251755816,1.3727414096571973e-128
K,784,0.00791591038983,0,2.0,146.41792946672032,2.3552019729701823,6.215360212059657e-130
K,783,0.007926245755320001,0,2.0,145.38261004320307,2.341650470650046,5.063278181009931e-129
K,782,0.007891443807588,0,2.0,146.05611846695024,2.342005057797594,1.3153874651500484e-129
K,781,0.00798468412716,0,2.0,144.91284446436214,2.3515697363750223,1.2706808099293205e-128
K,780,0.00790941631537,0,2.0,144.8654016294042,2.3282866644472517,1.462699252358616e-128
K,779,0.00791284779575,0,2.0,144.87241645734005,2.329425691653917,1.4390882769010912e-128
K,778,0.00790030918982,0,2.0,144.72013395891705,2.3232310922291193,1.975473017104452e-128
K,777,0.007887116432085,0,2.0,145.00191092412265,2.3238056033259853,1.1230552695374196e-128
K,776,0.007941922273845,0,2.0,145.25401784314337,2.3442805639461204,6.514648742894297e-129
K,775,0.00791877134119,0,2.0,145.2041669795382,2.336535658416647,7.308324161712661e-129
K,774,0.007908726690102001,0,2.0,145.54767120853705,2.339044935678526,3.6582317128949605e-129
K,773,0.008022452523259999,0,2.0,144.9924189378207,2.3641703253078834,1.0571555983214284e-128
K,772,0.00792842349391,0,2.0,144.89967511623954,2.3345234094908554,1.3491168192445903e-128
K,771,0.00787152353535,0,2.0,145.9410685715442,2.3341592646758196,1.6815334419466012e-129
K,770,0.0080166551408,0,2.0,147.2696929941867,2.3995390259904354,1.0366624124652763e-130
K,769,0.007964678387498,0,2.0,146.27007630857472,2.3675516171729,8.153574124544909e-130
K,768,0.008073558658475,0,2.0,146.61023448541135,2.4060262131922356,3.82793653797546e-130
K,767,0.00802563594314,0,2.0,145.03538872393798,2.365824566157509,9.669344270674333e-129
K,766,0.00805414107726,0,2.0,146.42033749390637,2.3970367601497182,5.696550716919162e-130
K,765,0.008031577784532,0,2.0,145.75493653909098,2.379350616730364,2.2323571728095072e-129
K,764,0.008018396701608,0,2.0,144.8600821604556,2.360799070099686,1.3866971829920206e-128
K,763,0.008103495454315,0,2.0,144.86464391880136,2.386338632661883,1.3067413250777485e-128
K,762,0.008034410950625001,0,2.0,145.2040552816605,2.371207549850647,6.827709722244654e-129
K,761,0.008054600110559999,0,2.0,144.95127458898276,2.37312427862027,1.1277882609117865e-128
K,760,0.008040000599935,0,2.0,145.19998281509322,2.3728174221454066,6.861779325845276e-129
K,759,0.008054222920985,0,2.0,144.92717387806815,2.3726167876181257,1.1846707267834236e-128
K,758,0.008057472923315,0,2.0,144.85772720306494,2.3724523439752696,1.3616535750982978e-128
K,757,0.008075754782675,0,2.0,145.93677184375832,2.395636067072612,1.5027384747680025e-129
K,756,0.008075113678305,0,2.0,144.56395266425272,2.3729089914358,2.4483795608110327e-128
K,755,0.008084661890998,0,2.0,146.24928371236592,2.4034572047826175,7.919888827334254e-130
K,754,0.00810112437628,0,2.0,144.6114061906996,2.3814586704473384,2.1895182366129204e-128
K,753,0.008038109904914999,0,2.0,144.65839180164159,2.363401971265679,2.0652149514634634e-128
K,752,0.00811430462124,0,2.0,145.25294532305927,2.395978941054377,5.897013462079995e-129
K,751,0.00808695839611,0,2.0,144.52794724915756,2.3758544874885206,2.616009072584008e-128
K,750,0.00816815627855,0,2.0,145.59532623712755,2.4178278329347482,2.847953101637752e-129
K,749,0.008151234210014,0,2.0,144.70790786071356,2.3980305844683354,1.7472487114838996e-128
K,748,0.008157376706255,0,2.0,144.92723024285627,2.403504674339758,1.114680826780063e-128
K,747,0.008172421188372,0,2.0,144.88629155415114,2.4073302495822326,1.2007290795005082e-128
K,746,0.008186227598895,0,2.0,144.52395456966502,2.4054336269839784,2.487881008732367e-128
K,745,0.008189905202475,0,2.0,144.51369038326456,2.406361183766585,2.534857525067875e-128
K,744,0.008187021714365,0,2.0,144.85553625484175,2.411190158269896,1.267254792038455e-128
K,743,0.008170490005128001,0,2.0,144.64717682763165,2.402780002915973,1.954579856155416e-128
K,742,0.008127888268359999,0,2.0,145.64650481442268,2.4065585298657934,2.6284773406183565e-129
K,741,0.008137963870195,0,2.0,144.86048714372677,2.3965867769455103,1.2913452525664434e-128
K,740,0.008140646308604999,0,2.0,145.54689414988053,2.408749500515708,3.1942137777019905e-129
K,739,0.00820934947158,0,2.0,145.41184261168624,2.4271605096617113,4.0360002948285445e-129
K,738,0.008189599180275,0,2.0,148.01103344642493,2.464503372879056,2.0706717290684688e-131
K,737,0.00820603838222,0,2.0,145.19465319315694,2.422541601024813,6.288854912524208e-129
K,736,0.008213025906216,0,2.0,144.92518628535169,2.420138694907086,1.0832088682712219e-128
K,735,0.008217201246916,0,2.0,144.85724750253823,2.420254321897302,1.2406012775672182e-128
K,734,0.008153952342115,0,2.0,144.86664282765068,2.4014747579059814,1.2633327446235101e-128
K,733,0.008130499531042,0,2.0,144.51452727486412,2.3886342713983972,2.620445347138687e-128
K,732,0.008218456003115,0,2.0,144.85340969540096,2.4205658850965537,1.249395488829437e-128
K,731,0.008185596335135999,0,2.0,144.8715421601766,2.411029814153769,1.2277121318984846e-128
K,730,0.008200262510700001,0,2.0,144.8594223996296,2.4152190320928515,1.2475138532539582e-128
K,729,0.008235497210015999,0,2.0,145.25712067838558,2.4324287692244635,5.44324176454389e-129
K,728,0.008251889412876,0,2.0,144.89631775980627,2.4312968098388237,1.1226817610750278e-128
K,727,0.008215184650075001,0,2.0,145.19357542831096,2.425268440862149,6.268705177072063e-129
K,726,0.008142733309165,0,2.0,144.92363121448383,2.3990596974611615,1.132597400646036e-128
K,725,0.008166861614399999,0,2.0,144.8973863290852,2.4058498255786414,1.1778012811054138e-128
K,724,0.008163098608975,0,2.0,144.86974961711098,2.4042643867137774,1.248633497996544e-128
K,723,0.008198409178925,0,2.0,145.38746013464603,2.4234660167762843,4.2686371568793476e-129
K,722,0.00820470398374,0,2.0,146.24350143415717,2.43963806439333,7.461442715253862e-130
K,721,0.00823969489004,0,2.0,144.85382107082108,2.4269321690773276,1.2328294454401892e-128
K,720,0.008174153956465001,0,2.0,145.28022334473667,2.4143957884895166,5.3851393974825633e-129
K,719,0.008173011288492,0,2.0,145.21069314843888,2.4128973664597733,6.206955021054261e-129
K,718,0.008135866718532,0,2.0,145.54102052594686,2.407214910346212,3.241737619870247e-129
K,717,0.008135597737162,0,2.0,144.65247613381214,2.3924381939514134,1.9737294740856455e-128
K,716,0.008150319219015,0,2.0,146.43756220396622,2.4264167155232834,5.194445917164921e-130
K,715,0.008084040982934,0,2.0,145.96698920977929,2.398630749781177,1.4062871182540577e-129
K,714,0.008098334917638,0,2.0,145.20154420571737,2.390340257259977,6.608508841010627e-129
K,713,0.008129616462965,0,2.0,144.93840490488603,2.395375948770946,1.107617241321041e-128
K,712,0.008133240690765,0,2.0,145.04763337110805,2.3982673544999153,8.85179943635551e-129
K,711,0.008126745407244,0,2.0,145.70881339842447,2.4072439943105066,2.3173453451338577e-129
K,710,0.008118700690344,0,2.0,144.9479501004648,2.39226452229518,1.0933440128182638e-128
K,709,0.008061782735964999,0,2.0,144.5221631227254,2.3682431653165508,2.6863915354067526e-128
K,708,0.008040360590934999,0,2.0,146.2636138158875,2.390307737921671,7.897862903973309e-130
K,707,0.008006851751868,0,2.0,145.33583659293524,2.365087175485289,5.3091893161990915e-129
K,706,0.008024144974445,0,2.0,144.52935622798304,2.3571250735162135,2.7065986554404725e-128
K,705,0.008001020207724,0,2.0,144.56128053744115,2.3507416304063797,2.5712706980293303e-128
K,704,0.007963066863625001,0,2.0,145.2658296721695,2.3508133307387804,6.28123706179858e-129
K,703,0.00795372310618,0,2.0,144.9042314393237,2.3421659774432406,1.3169147435209856e-128
K,702,0.007937712657912,0,2.0,146.73264514776372,2.366869072644038,3.236672164807014e-130
