Color,Wavelength,R,T,x,K,S,error
CL,495,0.0116863721518,0.8831435394,2.0,0.055574403742020904,0.006599520601540034,1.3877787807814457e-17
CL,494,0.011699940975239999,0.8827787781,2.0,0.05577079406931147,0.006609800526173792,1.3530843112619095e-16
CL,493,0.01174219310796,0.8830472564999999,2.0,0.05559709048613548,0.006631738506498128,1.214306433183765e-17
CL,492,0.0117911761788,0.8827303313999999,2.0,0.055746972324802135,0.006661696327638991,1.0928757898653885e-16
CL,491,0.01184412847896,0.8825948334,2.0,0.055793201088684546,0.006692599162221271,2.0816681711721685e-17
CL,490,0.01191417468888,0.8824175262,2.0,0.055853279580817816,0.006733477770018809,1.3357370765021415e-16
CL,489,0.011905139146199999,0.8828764343000001,2.0,0.05560168615065034,0.006725018848335812,2.6020852139652106e-17
CL,488,0.0119463059518,0.8828903198,2.0,0.05557095645189204,0.006748172818613212,9.540979117872439e-17
CL,487,0.01200269620208,0.8823886871000001,2.0,0.05582000132512809,0.006783722232786345,1.3010426069826053e-16
CL,486,0.012040515516000001,0.882142868,2.0,0.05593640217639403,0.006806915497905044,2.0816681711721685e-17
CL,485,0.012053800492680001,0.8826371765000001,2.0,0.055652516045856894,0.00681076889795451,2.42861286636753e-17
CL,484,0.01212246109728,0.8822229767,2.0,0.05584584370334179,0.006852648355546991,1.3183898417423734e-16
CL,483,0.012197257788960001,0.8818756104000001,2.0,0.05599842376160297,0.006897534609378512,2.2551405187698492e-17
CL,482,0.0121444707289,0.8816015625,2.0,0.05618127176384231,0.0068697273373982065,1.474514954580286e-16
CL,481,0.01226623896612,0.8820073700000001,2.0,0.0558861957602133,0.00693555268021916,1.3530843112619095e-16
CL,480,0.01232421842415,0.8815868378,2.0,0.05608912540031396,0.006971522024131813,1.43982048506075e-16
CL,479,0.012293401512999999,0.8819251251,2.0,0.05591704323779822,0.0069515328676920994,1.43982048506075e-16
CL,478,0.01239080986755,0.8812913512999999,2.0,0.05621732298399116,0.00701144481028725,1.3877787807814457e-16
CL,477,0.01246303839994,0.8814379883,2.0,0.056094905492892116,0.007051194389653843,1.3704315460216776e-16
CL,476,0.01255268101644,0.880019455,2.0,0.05683929664505018,0.007112877995066824,3.122502256758253e-17
CL,475,0.01252229974956,0.8809117126,2.0,0.056356414306912024,0.00708877892230278,2.949029909160572e-17
CL,474,0.0125374980771,0.8803314208999999,2.0,0.05667295956198705,0.007101863531061683,1.734723475976807e-18
CL,473,0.01259681300215,0.8802450562,2.0,0.05668818906759142,0.007136134853074355,0.0
CL,472,0.012644919500759999,0.8806369019,2.0,0.05644179098383131,0.007160336599237958,3.469446951953614e-18
CL,471,0.012707665385,0.8803040314,2.0,0.056593174898619945,0.007198475069091708,1.43982048506075e-16
CL,470,0.012727477357350001,0.8802028656,2.0,0.05663877773205796,0.007210492060229118,1.1449174941446927e-16
CL,469,0.01277287894865,0.8797063446,2.0,0.05689164977629238,0.007240125381265038,1.1275702593849246e-16
CL,468,0.01282634149265,0.8793265533,2.0,0.057074677799383584,0.007273437757336139,1.1275702593849246e-16
CL,467,0.012929379633049999,0.8788148499,2.0,0.057304027636775834,0.007335957262267055,3.469446951953614e-18
CL,466,0.01293569527656,0.8788513947,2.0,0.05727999012953865,0.007339248820198815,3.9898639947466563e-17
CL,465,0.0129506066546,0.8783921814,2.0,0.05752932678107949,0.00735138540275617,0.0
CL,464,0.01302821648545,0.8785037994,2.0,0.05742322547711914,0.007394544172573388,4.85722573273506e-17
CL,463,0.013136251011840001,0.8778482056,2.0,0.057730731566691944,0.007461193722290797,4.5102810375396984e-17
CL,462,0.01311409009975,0.8780943298,2.0,0.05760495983200148,0.007446608432082008,4.5102810375396984e-17
CL,461,0.01322861356495,0.8769506073,2.0,0.05818321178359175,0.0075210134605912535,1.1449174941446927e-16
CL,460,0.01317611543376,0.8772205353,2.0,0.058060956326511336,0.0074889596151125806,1.1102230246251565e-16
CL,459,0.01323019569396,0.8764477539000001,2.0,0.058465023879043246,0.007526039651502289,1.1275702593849246e-16
CL,458,0.0132521808265,0.8766325378000001,2.0,0.058348789710646505,0.007537027419011981,1.1275702593849246e-16
CL,457,0.013380887356560001,0.8761273193,2.0,0.05856068699019952,0.007614428458776667,3.469446951953614e-18
CL,456,0.01335271096476,0.8761701965,2.0,0.058552381208679484,0.007598038039896477,1.1275702593849246e-16
CL,455,0.01344091373676,0.8756104279,2.0,0.05881780267868396,0.007652904928127901,5.898059818321144e-17
CL,454,0.013462964764430001,0.87525177,2.0,0.059007295413572795,0.007668463138078684,1.1622647289044608e-16
CL,453,0.0134895750498,0.8747780609,2.0,0.059259098241793574,0.0076875972776011955,1.1622647289044608e-16
