brightness,k_rate,w_rate
0.0,0.999999999914,8.61213322878e-11
0.01,0.999999999567,4.32876179346e-10
0.02,0.999999997799,2.20116214145e-09
0.03,0.999999988707,1.12932347918e-08
0.04,1.0,3.66262575824e-13
0.05,0.999999999989,1.14924736394e-11
0.06,0.999999999635,3.64529517682e-10
0.07,0.999999988539,1.14613446511e-08
0.08,0.999999999966,3.36803918088e-11
0.09,0.999999961984,3.80155030788e-08
0.1,0.999999998817,1.18275944594e-09
0.11,0.999112664848,0.000887335152062
0.12,0.99719639518,0.00280360481968
0.13,0.994818482401,0.00518151759925
0.14,0.991986485391,0.00801351460909
0.15,0.988718579693,0.0112814203068
0.16,0.985034009853,0.0149659901468
0.17,0.980948557985,0.0190514420154
0.18,0.976473453154,0.0235265468459
0.19,0.97161529295,0.0283847070504
0.2,0.966377203192,0.0336227968077
0.21,0.960759468685,0.0392405313149
0.22,0.954760223869,0.0452397761312
0.23,0.948375943153,0.0516240568471
0.24,0.941601999773,0.0583980002273
0.25,0.934432666617,0.0655673333831
0.26,0.926861611705,0.0731383882948
0.27,0.918881976155,0.0811180238449
0.28,0.910486526984,0.0895134730161
0.29,0.901667780262,0.0983322197381
0.3,0.892418106174,0.107581893826
0.31,0.882729822805,0.117270177195
0.32,0.872595244095,0.127404755905
0.33,0.862006944333,0.137993055667
0.34,0.850957514939,0.149042485061
0.35,0.839439919696,0.160560080304
0.36,0.827447483229,0.172552516771
0.37,0.814973981417,0.185026018583
0.38,0.802013733364,0.197986266636
0.39,0.788561696615,0.211438303385
0.4,0.774613566587,0.225386433413
0.41,0.760165880721,0.239834119279
0.42,0.745197715782,0.254802284218
0.43,0.729744232835,0.270255767165
0.44,0.713787057191,0.286212942809
0.45,0.69732714564,0.30267285436
0.46,0.680366993812,0.319633006188
0.47,0.662910659623,0.337089340377
0.48,0.644963902268,0.355036097732
0.49,0.626534321526,0.373465678474
0.5,0.607631497274,0.392368502726
0.51,0.588267128514,0.411732871486
0.52,0.568455170721,0.431544829279
0.53,0.548211941688,0.451788058312
0.54,0.527556382163,0.472443617837
0.55,0.500350110192,0.499649889808
0.56,0.475731504279,0.524268495721
0.57,0.453588893647,0.546411106353
0.58,0.43145370877,0.56854629123
0.59,0.409169683377,0.590830316623
0.6,0.386659079878,0.613340920122
0.61,0.363961651278,0.636038348722
0.62,0.341120179574,0.658879820426
0.63,0.318180456856,0.681819543144
0.64,0.295190877171,0.704809122829
0.65,0.272203057489,0.727796942511
0.66,0.249270835095,0.750729164905
0.67,0.226450462862,0.773549537138
0.68,0.203800231562,0.796199768438
0.69,0.181380161649,0.818619838351
0.7,0.159251108335,0.840748891665
0.71,0.137475297785,0.862524702215
0.72,0.116114602145,0.883885397855
0.73,0.0952304925409,0.904769507459
0.74,0.0748828322122,0.925117167788
0.75,0.0551296783716,0.944870321628
0.76,0.0360265713814,0.963973428619
0.77,0.0176219577896,0.98237804221
0.78,8.79322737889e-05,0.999912067726
0.79,7.47006437756e-07,0.999999252994
0.8,9.57881028357e-11,0.999999999904
0.81,2.60619451801e-08,0.999999973938
0.82,3.90929151458e-10,0.999999999609
0.83,6.40972326201e-12,0.999999999994
0.84,1.09897891503e-07,0.999999890102
0.85,1.68774167415e-08,0.999999983123
0.86,2.70486781551e-09,0.999999997295
0.87,4.52888149517e-10,0.999999999547
0.88,7.9211264848e-11,0.999999999921
0.89,1.44607049274e-11,0.999999999986
0.9,2.75228832528e-12,0.999999999997
0.91,5.45397584366e-13,0.999999999999
0.92,1.12362212764e-13,1.0
0.93,7.8916308159e-08,0.999999921084
0.94,3.83764521454e-08,0.999999961624
0.95,1.89500620927e-08,0.99999998105
0.96,9.49732665811e-09,0.999999990503
0.97,4.82869391906e-09,0.999999995171
0.98,2.48936610769e-09,0.999999997511
0.99,1.30068960621e-09,0.999999998699
1.0,6.88469554031e-10,0.999999999312
